Real,User,Sys,Algorithm,Vertex_ID,Thread_Count,SERIAL,44111,192
14.29,174.93,8.89,SERIAL,1,192,SERIAL,44111,192
13.75,177.31,8.02,SERIAL,1,192,SERIAL,3198169,192
14.09,180.46,8.61,SERIAL,1,192,SERIAL,3198169,192
14.16,174.49,8.47,SERIAL,1,192,SERIAL,3198169,192
13.97,175.73,7.70,SERIAL,1,192,SERIAL,3198169,192
14.00,172.80,8.18,SERIAL,10010,192,SERIAL,3198169,192
13.88,173.84,7.67,SERIAL,10010,192,SERIAL,710371,192
13.84,173.75,8.07,SERIAL,10010,192,SERIAL,710371,192
13.75,175.18,8.47,SERIAL,10010,192,SERIAL,710371,192
14.25,174.71,8.26,SERIAL,10010,192,SERIAL,710371,192
11.60,170.89,8.40,SERIAL,153,192,SERIAL,710371,192
11.79,174.11,8.47,SERIAL,153,192,SERIAL,1535826,192,SERIAL,153,192
7.78,154.91,7.69,SERIAL,153,192,SERIAL,1535826,192
12.63,173.76,8.07,SERIAL,153,192,SERIAL,1535826,192
14.35,183.95,8.24,SERIAL,3878755,192,SERIAL,1535826,192
14.51,188.65,8.21,SERIAL,3878755,192,SERIAL,1535826,192
14.41,191.95,8.61,SERIAL,3878755,192,SERIAL,1484355,192
14.32,190.91,7.91,SERIAL,3878755,192,SERIAL,1484355,192
14.25,198.18,9.13,SERIAL,3878755,192,SERIAL,1484355,192
14.51,182.87,8.21,SERIAL,1174645,192,SERIAL,1484355,192
14.06,165.65,7.90,SERIAL,1174645,192,SERIAL,1484355,192
14.04,162.94,7.85,SERIAL,1174645,192,SERIAL,3565353,192
13.98,168.94,8.28,SERIAL,1174645,192,SERIAL,3565353,192
13.98,168.00,8.28,SERIAL,1174645,192,SERIAL,3565353,192
14.69,184.83,8.27,SERIAL,600745,192,SERIAL,3565353,192
14.01,153.71,7.97,SERIAL,600745,192,SERIAL,3565353,192
20.73,170.48,8.31,SERIAL,600745,192
15.28,180.16,8.33,SERIAL,600745,192
17.92,186.50,7.56,SERIAL,600745,192
16.79,162.59,8.82,SERIAL,4288351,192
16.98,168.59,8.12,SERIAL,4288351,192
16.45,166.59,8.08,SERIAL,4288351,192
16.45,169.82,8.37,SERIAL,4288351,192
10.26,165.49,7.78,SERIAL,4288351,192
10.31,163.98,7.77,SERIAL,420991,192
10.39,164.63,7.85,SERIAL,420991,192
10.41,168.16,7.81,SERIAL,420991,192
10.20,173.68,7.74,SERIAL,420991,192
14.14,164.99,7.65,SERIAL,420991,192
13.41,176.82,8.40,SERIAL,2132105,192
17.77,173.46,8.02,SERIAL,2132105,192
18.24,169.75,8.41,SERIAL,2132105,192
13.84,174.87,7.87,SERIAL,2132105,192
18.02,174.25,8.13,SERIAL,2132105,192
18.81,169.63,9.01,SERIAL,51344,192
13.94,171.69,7.83,SERIAL,51344,192
17.82,171.09,8.18,SERIAL,51344,192
17.33,168.73,7.79,SERIAL,51344,192
17.19,166.34,8.00,SERIAL,51344,192
17.27,162.12,8.16,SERIAL,3937365,192
17.16,173.10,8.04,SERIAL,3937365,192
17.22,169.23,8.40,SERIAL,3937365,192
17.73,176.64,8.43,SERIAL,3937365,192
17.90,171.99,7.88,SERIAL,3937365,192
17.71,173.00,8.15,SERIAL,3364661,192
18.22,175.97,8.17,SERIAL,3364661,192
17.77,173.58,7.81,SERIAL,3364661,192
13.91,159.84,8.78,SERIAL,3364661,192
18.05,175.97,8.38,SERIAL,3364661,192
13.98,167.48,8.26,SERIAL,998452,192
18.21,172.70,7.97,SERIAL,998452,192
16.96,162.38,7.69,SERIAL,998452,192
16.86,168.68,8.00,SERIAL,998452,192
16.93,163.46,8.79,SERIAL,998452,192
17.25,168.97,8.02,SERIAL,3388817,192
16.73,160.96,9.04,SERIAL,3388817,192
14.00,191.88,8.21,SERIAL,3388817,192
14.18,163.25,8.44,SERIAL,3388817,192
14.20,171.81,8.20,SERIAL,3388817,192
19.11,168.57,7.57,SERIAL,3297479,192
13.83,155.53,7.38,SERIAL,3297479,192
13.89,157.07,7.16,SERIAL,3297479,192
13.96,155.08,8.18,SERIAL,3297479,192
14.09,157.11,7.76,SERIAL,3297479,192
13.82,156.29,8.08,SERIAL,2112423,192
13.86,154.77,7.37,SERIAL,2112423,192
13.81,151.94,7.66,SERIAL,2112423,192
13.79,150.27,7.66,SERIAL,2112423,192
13.72,158.87,7.37,SERIAL,2112423,192
14.19,153.98,7.66,SERIAL,764565,192
13.83,153.30,7.61,SERIAL,764565,192
13.81,155.30,7.41,SERIAL,764565,192
13.92,150.58,7.61,SERIAL,764565,192
13.88,154.11,7.73,SERIAL,764565,192
13.81,153.18,8.50,SERIAL,44111,192
14.14,163.27,8.66,SERIAL,44111,192
18.15,173.89,7.92,SERIAL,44111,192
13.87,160.15,7.73,SERIAL,44111,192
17.69,171.73,8.56,SERIAL,44111,192
13.97,171.16,7.65,SERIAL,3198169,192
18.16,179.25,8.52,SERIAL,3198169,192
14.27,159.68,8.11,SERIAL,3198169,192
17.93,174.84,8.02,SERIAL,3198169,192
14.02,163.57,7.95,SERIAL,3198169,192
14.39,166.30,7.90,SERIAL,710371,192
14.14,168.75,8.75,SERIAL,710371,192
14.15,176.24,7.87,SERIAL,710371,192
14.08,166.29,8.90,SERIAL,710371,192
13.89,167.31,8.76,SERIAL,710371,192
16.89,174.44,8.28,SERIAL,1535826,192
13.96,172.65,8.09,SERIAL,1535826,192
14.10,173.02,8.12,SERIAL,1535826,192
19.03,159.76,8.14,SERIAL,1535826,192
13.96,160.15,7.65,SERIAL,1535826,192
14.12,175.21,8.27,SERIAL,1484355,192
16.94,170.29,8.27,SERIAL,1484355,192
13.92,164.91,7.84,SERIAL,1484355,192
14.01,194.62,7.82,SERIAL,1484355,192
13.79,171.18,8.71,SERIAL,1484355,192
13.93,170.46,8.58,SERIAL,3565353,192
13.79,176.08,8.01,SERIAL,3565353,192
13.98,167.93,8.44,SERIAL,3565353,192
14.77,170.58,8.85,SERIAL,3565353,192
14.02,159.25,8.03,SERIAL,3565353,192
