Real,User,Sys,Algorithm,Vertex_ID,Thread_Count,SERIAL,6746789,192
11.65,159.87,8.06,SERIAL,1,192,SERIAL,6746789,192
12.08,167.75,8.32,SERIAL,1,192,SERIAL,6746789,192
11.53,158.82,8.31,SERIAL,1,192,SERIAL,19132098,192
11.84,166.74,8.84,SERIAL,1,192,SERIAL,19132098,192
11.42,168.17,8.85,SERIAL,1,192,SERIAL,19132098,192
11.67,169.56,7.82,SERIAL,17644256,192,SERIAL,19132098,192
12.02,187.13,7.88,SERIAL,17644256,192,SERIAL,19132098,192
11.80,181.46,8.58,SERIAL,17644256,192,SERIAL,22500008,192
12.07,195.00,8.79,SERIAL,17644256,192,SERIAL,22500008,192
11.73,175.21,7.91,SERIAL,17644256,192,SERIAL,22500008,192
11.77,186.86,7.97,SERIAL,1,192,SERIAL,22500008,192
11.74,184.82,8.53,SERIAL,1,192,SERIAL,22500008,192
12.27,161.05,8.30,SERIAL,1,192,SERIAL,3438212,192
11.69,156.67,8.58,SERIAL,1,192,SERIAL,3438212,192
11.89,163.11,8.46,SERIAL,1,192,SERIAL,3438212,192
11.70,165.93,8.32,SERIAL,4695308,192,SERIAL,3438212,192
11.80,159.61,7.91,SERIAL,4695308,192,SERIAL,3438212,192
11.65,178.09,8.22,SERIAL,4695308,192
15.72,154.93,7.93,SERIAL,4695308,192
11.60,192.36,9.64,SERIAL,4695308,192
16.13,188.91,7.91,SERIAL,1556663,192
10.76,166.30,8.03,SERIAL,1556663,192
11.75,178.36,8.35,SERIAL,1556663,192
10.38,169.53,7.90,SERIAL,1556663,192
11.78,182.20,9.49,SERIAL,1556663,192
10.81,167.22,8.38,SERIAL,11341106,192
6.82,161.93,9.01,SERIAL,11341106,192
6.74,165.18,8.19,SERIAL,11341106,192
6.71,165.35,8.81,SERIAL,11341106,192
6.67,167.85,8.51,SERIAL,11341106,192
6.67,167.25,8.16,SERIAL,5037423,192
6.67,169.19,8.58,SERIAL,5037423,192
6.67,165.85,8.54,SERIAL,5037423,192
6.69,165.88,8.31,SERIAL,5037423,192
6.66,167.73,8.95,SERIAL,5037423,192
6.68,163.47,7.83,SERIAL,16572421,192
6.71,169.52,8.48,SERIAL,16572421,192
6.87,164.70,8.39,SERIAL,16572421,192
6.73,165.39,8.74,SERIAL,16572421,192
6.58,161.62,9.38,SERIAL,16572421,192
6.60,164.66,8.12,SERIAL,22729509,192
6.78,165.52,7.97,SERIAL,22729509,192
6.62,163.02,8.28,SERIAL,22729509,192
6.61,166.52,8.28,SERIAL,22729509,192
6.65,162.56,8.75,SERIAL,22729509,192
6.71,163.71,8.00,SERIAL,19098751,192
6.63,163.67,7.87,SERIAL,19098751,192
6.62,163.58,8.42,SERIAL,19098751,192
6.66,164.48,8.65,SERIAL,19098751,192
6.56,162.01,8.04,SERIAL,19098751,192
6.58,164.22,7.90,SERIAL,10955122,192
6.55,158.90,8.06,SERIAL,10955122,192
6.70,163.89,8.68,SERIAL,10955122,192
6.67,159.70,8.26,SERIAL,10955122,192
6.66,164.18,8.39,SERIAL,10955122,192
6.67,166.79,8.65,SERIAL,11929062,192
6.63,166.89,7.81,SERIAL,11929062,192
6.60,168.84,8.31,SERIAL,11929062,192
6.57,162.21,8.18,SERIAL,11929062,192
6.59,163.64,8.70,SERIAL,11929062,192
6.60,167.38,8.10,SERIAL,13424355,192
6.70,162.09,8.86,SERIAL,13424355,192
6.59,162.83,8.23,SERIAL,13424355,192
6.65,165.58,8.45,SERIAL,13424355,192
6.60,168.65,8.44,SERIAL,13424355,192
6.58,167.56,7.86,SERIAL,19251604,192
6.61,162.11,8.62,SERIAL,19251604,192
6.56,161.41,9.02,SERIAL,19251604,192
6.63,168.28,8.89,SERIAL,19251604,192
6.69,159.48,8.06,SERIAL,19251604,192
6.71,161.21,8.82,SERIAL,4416605,192
6.62,164.16,8.88,SERIAL,4416605,192
6.56,162.26,8.14,SERIAL,4416605,192
6.66,162.42,8.31,SERIAL,4416605,192
6.68,162.33,8.82,SERIAL,4416605,192
6.56,166.81,8.40,SERIAL,5664625,192
6.63,161.63,7.98,SERIAL,5664625,192
6.72,162.18,8.93,SERIAL,5664625,192
6.60,164.41,8.66,SERIAL,5664625,192
6.60,164.67,8.26,SERIAL,5664625,192
6.68,167.56,7.94,SERIAL,1091163,192
6.66,163.06,8.87,SERIAL,1091163,192
6.69,171.06,8.66,SERIAL,1091163,192
6.67,169.36,8.38,SERIAL,1091163,192
6.68,168.97,9.02,SERIAL,1091163,192
6.72,164.23,7.93,SERIAL,4492297,192
6.66,164.59,8.30,SERIAL,4492297,192
6.70,165.64,8.16,SERIAL,4492297,192
6.65,156.74,8.15,SERIAL,4492297,192
6.66,164.95,8.43,SERIAL,4492297,192
6.74,157.67,8.42,SERIAL,17230004,192
6.67,157.84,8.42,SERIAL,17230004,192
6.71,163.34,8.70,SERIAL,17230004,192
6.64,159.51,8.22,SERIAL,17230004,192
6.63,167.69,8.27,SERIAL,17230004,192
6.65,162.35,8.84,SERIAL,6746789,192
6.67,163.13,8.17,SERIAL,6746789,192
6.69,163.40,8.11,SERIAL,6746789,192
6.64,159.58,9.07,SERIAL,6746789,192
6.66,163.40,9.16,SERIAL,6746789,192
6.64,160.08,8.71,SERIAL,19132098,192
6.66,165.74,8.86,SERIAL,19132098,192
6.66,167.70,8.35,SERIAL,19132098,192
6.68,167.98,8.14,SERIAL,19132098,192
6.98,166.36,8.90,SERIAL,19132098,192
6.65,161.07,8.69,SERIAL,22500008,192
6.68,166.28,7.88,SERIAL,22500008,192
6.72,161.52,7.98,SERIAL,22500008,192
6.65,164.03,8.11,SERIAL,22500008,192
6.66,163.89,8.28,SERIAL,22500008,192
6.67,164.13,7.98,SERIAL,3438212,192
6.64,159.87,9.06,SERIAL,3438212,192
6.68,164.48,8.45,SERIAL,3438212,192
6.72,162.60,8.27,SERIAL,3438212,192
6.70,163.56,8.94,SERIAL,3438212,192
